[2020.09.17 10:39:43 / lib_ea_2.mqh:603]	28521124	105.063	105.058	0.05	0.1	105.113	104.953	
[2020.09.17 10:44:47 / lib_ea_2.mqh:603]	28521202	105.071	105.067	0.05	0.1	105.121	104.963	
[2020.09.17 10:49:43 / lib_ea_2.mqh:603]	28521320	105.066	105.061	0.05	0.1	105.116	104.956	
[2020.09.17 10:54:43 / lib_ea_2.mqh:603]	28521627	105.11	105.104	0.05	0.1	105.16	104.998	
[2020.09.17 10:59:43 / lib_ea_2.mqh:603]	28521778	105.143	105.137	0.05	0.1	105.193	105.031	
[2020.09.17 11:04:43 / lib_ea_2.mqh:603]	28521900	105.134	105.129	0.05	0.1	105.184	105.024	
[2020.09.17 11:09:45 / lib_ea_2.mqh:603]	28521954	105.088	105.083	0.05	0.1	105.138	104.978	
[2020.09.17 11:14:43 / lib_ea_2.mqh:603]	28522091	105.099	105.095	0.05	0.1	105.149	104.991	
[2020.09.17 11:19:44 / lib_ea_2.mqh:603]	28522157	105.088	105.084	0.05	0.1	105.138	104.98	
[2020.09.17 11:24:43 / lib_ea_2.mqh:603]	28522187	105.07	105.066	0.05	0.1	105.12	104.962	
[2020.09.17 11:29:45 / lib_ea_2.mqh:603]	28522221	105.076	105.071	0.05	0.1	105.126	104.966	
[2020.09.17 11:34:43 / lib_ea_2.mqh:603]	28522258	105.055	105.05	0.05	0.1	105.105	104.945	
[2020.09.17 11:39:43 / lib_ea_2.mqh:603]	28522288	105.068	105.062	0.05	0.1	105.118	104.956	
[2020.09.17 11:44:55 / lib_ea_2.mqh:603]	28522313	105.078	105.073	0.05	0.1	105.128	104.968	
[2020.09.17 11:49:44 / lib_ea_2.mqh:603]	28522341	105.085	105.081	0.05	0.1	105.135	104.977	
[2020.09.17 11:54:43 / lib_ea_2.mqh:603]	28522483	105.07	105.066	0.05	0.1	105.12	104.962	
[2020.09.17 11:59:43 / lib_ea_2.mqh:603]	28522530	105.048	105.042	0.05	0.1	105.098	104.936	
[2020.09.17 12:04:49 / lib_ea_2.mqh:603]	28522572	105.051	105.047	0.05	0.1	105.101	104.943	
[2020.09.17 12:09:45 / lib_ea_2.mqh:603]	28522605	105.054	105.05	0.05	0.1	105.104	104.946	
[2020.09.17 12:14:43 / lib_ea_2.mqh:603]	28522771	105.071	105.066	0.05	0.1	105.121	104.961	
[2020.09.17 12:19:42 / lib_ea_2.mqh:603]	28522965	105.062	105.058	0.05	0.1	105.112	104.954	
[2020.09.17 12:24:46 / lib_ea_2.mqh:603]	28523116	105.05	105.045	0.05	0.1	105.1	104.94	
[2020.09.17 12:29:42 / lib_ea_2.mqh:603]	28523151	105.071	105.066	0.05	0.1	105.121	104.961	
[2020.09.17 12:34:43 / lib_ea_2.mqh:603]	28523209	105.055	105.051	0.05	0.1	105.105	104.947	
[2020.09.17 12:39:43 / lib_ea_2.mqh:603]	28523242	105.049	105.045	0.05	0.1	105.099	104.941	
[2020.09.17 12:44:43 / lib_ea_2.mqh:603]	28523295	105.039	105.034	0.05	0.1	105.089	104.929	
