2016.11.07 15:40;USDJPY
no.;time;close;BB +2s
108;2016.11.01 03:00;104.928;105.17802772
109;2016.11.01 02:00;104.981;105.19172052
110;2016.11.01 01:00;105.071;105.20307734
111;2016.11.01 00:00;105.069;105.17798536
112;2016.10.31 23:00;105.095;105.1510262
113;2016.10.31 22:00;104.992;105.11327648
114;2016.10.31 21:00;105.018;105.10337622
115;2016.10.31 20:00;105.039;105.19138487
116;2016.10.31 19:00;104.984;105.27917037
117;2016.10.31 18:00;105.023;105.35880218
118;2016.10.31 17:00;104.945;105.37994328
119;2016.10.31 16:00;104.919;105.41591437
120;2016.10.31 15:00;104.822;105.47732424
121;2016.10.31 14:00;104.751;105.52005525
122;2016.10.31 13:00;104.811;105.55746059
123;2016.10.31 12:00;104.771;105.5834426
124;2016.10.31 11:00;104.859;105.6144332
125;2016.10.31 10:00;104.799;105.65146393
126;2016.10.31 09:00;104.779;105.68271137
127;2016.10.31 08:00;104.569;105.69098698
128;2016.10.31 07:00;104.615;105.68001187
129;2016.10.31 06:00;104.55;105.66336706
130;2016.10.29 05:00;104.787;105.63384845
131;2016.10.29 04:00;104.715;105.62744201
132;2016.10.29 03:00;104.739;105.60138862
133;2016.10.29 02:00;104.554;105.56789213
134;2016.10.29 01:00;105.344;105.41264928
135;2016.10.29 00:00;105.401;105.40486103
136;2016.10.28 23:00;105.393;105.38154877
137;2016.10.28 22:00;105.171;105.35986762
138;2016.10.28 21:00;105.221;105.36288091
139;2016.10.28 20:00;105.359;105.36519791
140;2016.10.28 19:00;105.269;105.35199638
141;2016.10.28 18:00;105.261;105.37035151
142;2016.10.28 17:00;105.204;105.41610277
143;2016.10.28 16:00;105.267;105.46999399
144;2016.10.28 15:00;105.33;105.50381623
145;2016.10.28 14:00;105.322;105.51766283
146;2016.10.28 13:00;105.149;105.51405715
147;2016.10.28 12:00;105.166;105.52415163
148;2016.10.28 11:00;105.121;105.53733577
149;2016.10.28 10:00;105.238;105.54185854
150;2016.10.28 09:00;105.235;105.53690688
151;2016.10.28 08:00;105.221;105.52977625
152;2016.10.28 07:00;105.253;105.51799916
153;2016.10.28 06:00;105.235;105.49515502
154;2016.10.28 05:00;105.281;105.46149191
155;2016.10.28 04:00;105.251;105.40096607
156;2016.10.28 03:00;105.284;105.33614538
157;2016.10.28 02:00;105.29;105.2526608
158;2016.10.28 01:00;105.272;105.15317345
159;2016.10.28 00:00;105.144;105.03541716
160;2016.10.27 23:00;105.035;104.93270696
161;2016.10.27 22:00;104.879;104.8428479
162;2016.10.27 21:00;104.767;104.78808155
163;2016.10.27 20:00;104.727;104.75814109
164;2016.10.27 19:00;104.695;104.73363376
165;2016.10.27 18:00;104.728;104.71127156
166;2016.10.27 17:00;104.711;104.70879771
167;2016.10.27 16:00;104.614;104.68226101
168;2016.10.27 15:00;104.654;104.67636792
169;2016.10.27 14:00;104.552;104.66466705
170;2016.10.27 13:00;104.483;104.66930489
171;2016.10.27 12:00;104.442;104.67089477
172;2016.10.27 11:00;104.389;104.67426742
173;2016.10.27 10:00;104.409;104.67670388
174;2016.10.27 09:00;104.536;104.67291999
175;2016.10.27 08:00;104.562;104.65414427
176;2016.10.27 07:00;104.548;104.62935329
177;2016.10.27 06:00;104.472;104.60254904
178;2016.10.27 05:00;104.467;104.58837125
179;2016.10.27 04:00;104.488;104.57634444
180;2016.10.27 03:00;104.534;104.5557699
181;2016.10.27 02:00;104.47;104.5203967
182;2016.10.27 01:00;104.573;104.49295522
183;2016.10.27 00:00;104.427;104.42733762
184;2016.10.26 23:00;104.439;104.39761667
185;2016.10.26 22:00;104.206;104.35790848
186;2016.10.26 21:00;104.294;104.3636424
187;2016.10.26 20:00;104.253;104.35818196
188;2016.10.26 19:00;104.187;104.35818196
189;2016.10.26 18:00;104.153;104.46603564
190;2016.10.26 17:00;104.191;104.61958055
191;2016.10.26 16:00;104.175;104.70177454
192;2016.10.26 15:00;104.196;104.72820484
193;2016.10.26 14:00;104.283;104.75253179
194;2016.10.26 13:00;104.349;104.76113121
195;2016.10.26 12:00;104.359;104.76621765
196;2016.10.26 11:00;104.284;104.77286733
197;2016.10.26 10:00;104.33;104.78103509
198;2016.10.26 09:00;104.153;104.78497096
199;2016.10.26 08:00;104.166;104.78226245
200;2016.10.26 07:00;104.158;104.78320735
201;2016.10.26 06:00;104.206;104.78113774
202;2016.10.26 05:00;104.229;104.77705392
203;2016.10.26 04:00;104.203;104.77586823
204;2016.10.26 03:00;104.226;104.7676882
205;2016.10.26 02:00;104.286;104.76102781
206;2016.10.26 01:00;104.242;104.76602901
207;2016.10.26 00:00;104.253;104.77239391
208;2016.10.25 23:00;104.628;104.77435282
209;2016.10.25 22:00;104.851;104.75743642
210;2016.10.25 21:00;104.756;104.67188746
211;2016.10.25 20:00;104.554;104.60246319
212;2016.10.25 19:00;104.56;104.58128954
213;2016.10.25 18:00;104.445;104.54993816
214;2016.10.25 17:00;104.43;104.54506942
215;2016.10.25 16:00;104.455;104.57590605
216;2016.10.25 15:00;104.456;104.57404391
217;2016.10.25 14:00;104.416;104.57991188
218;2016.10.25 13:00;104.382;104.5771764
219;2016.10.25 12:00;104.461;104.57462586
220;2016.10.25 11:00;104.471;104.54768047
221;2016.10.25 10:00;104.412;104.52430555
222;2016.10.25 09:00;104.471;104.49481257
223;2016.10.25 08:00;104.327;104.44040303
224;2016.10.25 07:00;104.324;104.41047047
225;2016.10.25 06:00;104.225;104.37476188
226;2016.10.25 05:00;104.181;104.35322922
227;2016.10.25 04:00;104.229;104.33674257
228;2016.10.25 03:00;104.232;104.30904473
229;2016.10.25 02:00;104.284;104.27769071
230;2016.10.25 01:00;104.222;104.22892552
231;2016.10.25 00:00;104.207;104.18856081
232;2016.10.24 23:00;104.262;104.1439197
233;2016.10.24 22:00;104.161;104.06301172
234;2016.10.24 21:00;103.934;103.99868754
235;2016.10.24 20:00;104.005;103.99755193
236;2016.10.24 19:00;103.896;103.98646861
237;2016.10.24 18:00;103.92;103.98883271
238;2016.10.24 17:00;103.894;104.01631978
239;2016.10.24 16:00;103.925;104.02343737
240;2016.10.24 15:00;103.796;104.02287548
241;2016.10.24 14:00;103.867;104.02948147
242;2016.10.24 13:00;103.904;104.02831135
243;2016.10.24 12:00;103.902;104.02331307
244;2016.10.24 11:00;103.925;104.01855307
245;2016.10.24 10:00;103.943;104.02436617
246;2016.10.24 09:00;103.905;104.01283624
247;2016.10.24 08:00;103.916;104.05366344
248;2016.10.24 07:00;103.969;104.08692198
249;2016.10.24 06:00;103.842;104.12339251
250;2016.10.22 05:00;103.829;104.15532629
251;2016.10.22 04:00;103.825;104.1920548
252;2016.10.22 03:00;103.83;104.21847312
253;2016.10.22 02:00;103.914;104.22708407
254;2016.10.22 01:00;103.924;104.23008922
255;2016.10.22 00:00;103.956;104.23160043
256;2016.10.21 23:00;103.813;104.23077325
257;2016.10.21 22:00;103.661;104.23361951
258;2016.10.21 21:00;103.718;104.22210165
259;2016.10.21 20:00;103.726;104.21420757
260;2016.10.21 19:00;103.706;104.20347179
261;2016.10.21 18:00;103.845;104.18876977
262;2016.10.21 17:00;103.775;104.19190701
263;2016.10.21 16:00;103.844;104.19071387
264;2016.10.21 15:00;103.961;104.22333548
265;2016.10.21 14:00;103.824;104.23506075
266;2016.10.21 13:00;104.095;104.24115208
267;2016.10.21 12:00;104.092;104.23535453
268;2016.10.21 11:00;104.143;104.21865767
269;2016.10.21 10:00;104.1;104.18670725
270;2016.10.21 09:00;104.14;104.160358
271;2016.10.21 08:00;104.109;104.12568853
272;2016.10.21 07:00;103.999;104.09036205
273;2016.10.21 06:00;103.962;104.08590203
274;2016.10.21 05:00;103.949;104.06810518
275;2016.10.21 04:00;103.944;104.0483062
276;2016.10.21 03:00;103.946;104.04871447
277;2016.10.21 02:00;103.937;104.04028366
278;2016.10.21 01:00;103.944;104.02138533
279;2016.10.21 00:00;103.93;103.98731423
280;2016.10.20 23:00;104.012;103.95024708
281;2016.10.20 22:00;103.81;103.8807669
282;2016.10.20 21:00;103.784;103.85883268
283;2016.10.20 20:00;103.626;103.84488742
284;2016.10.20 19:00;103.7;103.844723
285;2016.10.20 18:00;103.735;103.83226243
286;2016.10.20 17:00;103.67;103.80834205
287;2016.10.20 16:00;103.732;103.7856625
288;2016.10.20 15:00;103.749;103.747582
289;2016.10.20 14:00;103.71;103.69777725
290;2016.10.20 13:00;103.621;103.65008695
291;2016.10.20 12:00;103.611;103.62226913
292;2016.10.20 11:00;103.497;103.60564224
293;2016.10.20 10:00;103.608;103.62535703
