2016.11.07 15:31;USDCHF
no.;time;close;BB +2s
146;1477659600;0.99371;0.99459786
147;1477656000;0.9933;0.9945664
148;1477652400;0.99375;0.99456183
149;1477648800;0.99356;0.99455387
150;1477645200;0.99352;0.99454502
151;1477641600;0.99375;0.99465111
152;1477638000;0.99387;0.99468481
153;1477634400;0.9935;0.99473743
154;1477630800;0.99379;0.99479818
155;1477627200;0.99366;0.99478156
156;1477623600;0.99341;0.99476455
157;1477620000;0.99396;0.99476922
158;1477616400;0.99412;0.99472079
159;1477612800;0.99399;0.99464118
160;1477609200;0.99316;0.99462281
161;1477605600;0.99287;0.99464586
162;1477602000;0.99264;0.99465024
163;1477598400;0.99197;0.9946471
164;1477594800;0.99184;0.99454614
165;1477591200;0.99313;0.99435001
166;1477587600;0.99281;0.99460867
167;1477584000;0.99317;0.99462816
168;1477580400;0.99368;0.99473049
169;1477576800;0.99345;0.99480506
170;1477573200;0.99428;0.99496337
171;1477569600;0.99401;0.99487085
172;1477566000;0.99422;0.99475714
173;1477562400;0.99407;0.99461356
174;1477558800;0.99361;0.99482208
175;1477555200;0.99342;0.99506643
176;1477551600;0.99349;0.99530024
177;1477548000;0.99347;0.99544311
178;1477544400;0.99341;0.99563648
179;1477540800;0.99386;0.99589049
180;1477537200;0.99358;0.99598685
181;1477533600;0.99333;0.9960505
182;1477530000;0.99347;0.9961219
183;1477526400;0.9927;0.99621873
184;1477522800;0.99301;0.99630798
185;1477519200;0.9916;0.99638382
186;1477515600;0.99255;0.99637702
187;1477512000;0.99191;0.99637854
188;1477508400;0.99166;0.9963467
189;1477504800;0.991;0.99658088
190;1477501200;0.99155;0.9975059
191;1477497600;0.99201;0.99819158
192;1477494000;0.99322;0.99820304
193;1477490400;0.99498;0.99816052
194;1477486800;0.99494;0.99815564
195;1477483200;0.99491;0.99816438
196;1477479600;0.99456;0.99814925
197;1477476000;0.99488;0.9981609
198;1477472400;0.99525;0.9981466
199;1477468800;0.99464;0.99810823
200;1477465200;0.99425;0.99810079
201;1477461600;0.99421;0.99810057
202;1477458000;0.99451;0.99809974
203;1477454400;0.99434;0.9980923
204;1477450800;0.9943;0.99808865
205;1477447200;0.99421;0.99808534
206;1477443600;0.9936;0.99808341
207;1477440000;0.99402;0.99808362
208;1477436400;0.99629;0.99808353
209;1477432800;0.99928;0.99790762
210;1477429200;0.99911;0.99686192
211;1477425600;0.99644;0.99532832
212;1477422000;0.99433;0.99489966
213;1477418400;0.99389;0.99488275
214;1477414800;0.99345;0.9948722
215;1477411200;0.99424;0.99487307
